Year,Month,Day,Hour,Minute,Close
2023,4,10,6,42,28299.10000000
2023,4,10,6,43,28295.60000000
2023,4,10,6,44,28308.45000000
2023,4,10,6,45,28307.87000000
2023,4,10,6,46,28295.54000000
2023,4,10,6,47,28289.23000000
2023,4,10,6,48,28288.06000000
2023,4,10,6,49,28283.52000000
2023,4,10,6,50,28283.29000000
2023,4,10,6,51,28295.25000000
2023,4,10,6,52,28294.80000000
2023,4,10,6,53,28294.24000000
2023,4,10,6,54,28283.81000000
2023,4,10,6,55,28282.23000000
2023,4,10,6,56,28278.44000000
2023,4,10,6,57,28278.45000000
2023,4,10,6,58,28278.45000000
2023,4,10,6,59,28278.45000000
2023,4,10,7,0,28279.42000000
2023,4,10,7,1,28291.22000000
2023,4,10,7,2,28283.87000000
2023,4,10,7,3,28280.71000000
2023,4,10,7,4,28280.02000000
2023,4,10,7,5,28280.13000000
2023,4,10,7,6,28280.68000000
2023,4,10,7,7,28281.80000000
2023,4,10,7,8,28282.61000000
2023,4,10,7,9,28298.51000000
2023,4,10,7,10,28296.61000000
2023,4,10,7,11,28296.28000000
2023,4,10,7,12,28296.28000000
2023,4,10,7,13,28296.28000000
2023,4,10,7,14,28296.29000000
2023,4,10,7,15,28307.48000000
2023,4,10,7,16,28312.64000000
2023,4,10,7,17,28313.92000000
2023,4,10,7,18,28304.24000000
2023,4,10,7,19,28304.25000000
2023,4,10,7,20,28304.25000000
2023,4,10,7,21,28292.57000000
2023,4,10,7,22,28290.44000000
2023,4,10,7,23,28290.43000000
2023,4,10,7,24,28286.78000000
2023,4,10,7,25,28291.00000000
2023,4,10,7,26,28290.99000000
2023,4,10,7,27,28299.93000000
2023,4,10,7,28,28299.93000000
2023,4,10,7,29,28299.93000000
2023,4,10,7,30,28299.92000000
2023,4,10,7,31,28299.92000000
2023,4,10,7,32,28299.92000000
2023,4,10,7,33,28299.92000000
2023,4,10,7,34,28299.92000000
2023,4,10,7,35,28303.69000000
2023,4,10,7,36,28303.69000000
2023,4,10,7,37,28303.69000000
